KODE_PEMDA,NAMA_PEMDA,NAMA_PROVINSI,NAMA_PULAU,JUMLAH_BELANJA_PEGAWAI,JUMLAH_PENDUDUK,LUAS_DARATAN,LUAS_LAUTAN,LUAS_WILAYAH,IKK,IPM,PDRB_PER_KAPITA,PAD,DBH_PAJAK,DBH_SDA,ALOKASI_DAU,ALOKASI_DAU_APBNP,APBD_PENDAPATAN,APBD_BELANJA,APBD_PEMBIAYAAN,TKDD_TOTAL,TKDD_DBH,TKDD_DAU,TKDD_DAKFISIK,TKDD_DAKNONFISIK,TKDD_DID,TKDD_OTSUS,TKDD_DAIS,TKDD_DANADESA
1_20,Kab. Aceh Tamiang,Provinsi Aceh,Sumatera,292213272288,296088,"1956,72","352,05","2308,77","94,94","68,45","19652996,49",139261841912,79776702346,5669573362,551339616000,493792581000,1167305362023,1167305362023,51300000000,727097639000,171672967000,488331564000,52542235000,90620320000,15868483000,,,171672967000
1_21,Kab. Bener Meriah,Provinsi Aceh,Sumatera,209474251286,160434,"1454,09",0,"1454,09","97,12","72,14","25634620,59",59409524055,8272979491,3545478574,462577672000,414295320000,891264454808,891264454808,17825289096,641102592000,182834539000,417698518000,87941188000,62679782000,63865968000,,,182834539000
1_22,Kab. Pidie Jaya,Provinsi Aceh,Sumatera,212305882776,160921,"1073,6","203,72","1277,32","92,81","72,12","19407091,34",57432814785,7693302498,3553182577,446367715000,399777305000,898370441245,898370441245,1100000000,590734813000,165862465000,404301754000,73028237000,64476140000,39790452000,,,165862465000
1_23,Kota Subulussalam,Provinsi Aceh,Sumatera,127615069670,86593,1391,0,1391,"93,31","63,48","16032489,75",36348719461,8977828103,3555260974,358925001000,318039401000,643578658784,643578658784,67752000067,411157998000,70422534000,313862655000,51730047000,35544797000,,,,70422534000
2_1,Kab. Asahan,Provinsi Sumatera Utara,Sumatera,437874007064,783828,"3702,21","422,96","4125,17","94,53","69,49","33887985,8",142972039821,61767184941,3586343037,906419993000,821136749000,1701595212088,1701595212088,2500000000,1109198013000,152083710000,818693947000,73337836000,153222734000,16152614000,,,152083710000
2_2,Kab. Dairi,Provinsi Sumatera Utara,Sumatera,312904955178,314652,"1927,8",0,"1927,8","105,39","70,89","27601686,06",128489751332,12496303541,4230309839,627664476000,562150900000,1158730025000,1158730025000,92240600000,840602060000,129738730000,557116199000,130376110000,100555911000,38154676000,,,129738730000
2_3,Kab. Deli Serdang,Provinsi Sumatera Utara,Sumatera,842554021996,1837206,"2241,68","299,26","2540,94","101,01","74,92","37806386,23",729648594489,62265354132,3787195865,1510993188000,1367676047000,4329752442663,4329752442663,63000000000,1892533982000,312546966000,1354889566000,93697896000,345357132000,43678973000,,,312546966000
2_4,Kab. Karo,Provinsi Sumatera Utara,Sumatera,384668573764,405980,2127,0,2127,"102,5","73,91","46056531,3",159189197472,13658236123,3862867703,757048872000,685819658000,1372004794424,1372004794424,6000000000,950834875000,198409273000,679135837000,115488897000,118842903000,20751024000,,,198409273000
2_5,Kab. Labuhanbatu,Provinsi Sumatera Utara,Sumatera,337410711470,501722,"2156,02",321,"2477,02","106,74","71,39","39839318,9",162794472017,45414292241,3664172037,707992970000,641379327000,1425477080000,1425477080000,37000000000,856065131000,74477417000,638234403000,71658955000,110104823000,,,,74477417000
2_6,Kab. Langkat,Provinsi Sumatera Utara,Sumatera,654332531102,1044561,6262,"573,48","6835,48","98,74","70,27","28359105,71",136680578541,143898133603,5359175531,1212693537000,1086116531000,1993215976198,1993215976198,3000000000,1573246941000,213259749000,1081981083000,75169778000,282252117000,,,,213259749000
2_7,Kab. Mandailing Natal,Provinsi Sumatera Utara,Sumatera,405459408084,485759,6134,"1277,88","7411,88","100,55","65,83","22979120,96",84809923496,24374119932,7647101249,818063614000,741093645000,1685180887633,1685180887633,56838464643,1123475250000,286845864000,742346622000,149435057000,196749420000,,,,286845864000
2_8,Kab. Nias,Provinsi Sumatera Utara,Sumatera,166217352026,154184,"1842,51","664,64","2507,15","114,17","60,82","20909687,93",88754606115,9029889003,3586343037,451437745000,408962870000,902853374881,902853374881,45200000000,545460988000,179544025000,412621552000,56935295000,64095721000,,,,179544025000
2_9,Kab. Simalungun,Provinsi Sumatera Utara,Sumatera,661471797824,1032253,4369,0,4369,"98,6","72,49","30072208,77",164107850129,48449791190,3740686437,1243341378000,1126357874000,2378168923917,2378168923917,86403742942,1559908872000,296800840000,1120786035000,127099088000,268898857000,,,,296800840000
2_10,Kab. Tapanuli Selatan,Provinsi Sumatera Utara,Sumatera,301441655674,311346,"6030,47","109,83","6140,3","104,88","69,1","32556590,33",140044217234,39962868961,92504988154,659619123000,591887671000,1437370653424,1437370653424,251477286632,891778161000,169754513000,595549093000,64797691000,112064938000,11057750000,,,169754513000
2_11,Kab. Tapanuli Tengah,Provinsi Sumatera Utara,Sumatera,319442392186,362742,2188,"2084,86","4272,86","100,3","68,27","22556286,61",76660883410,14533718353,4388704856,657011839000,588435081000,1170218000155,1170218000155,45968661717,828567511000,142631022000,603228847000,87573541000,119740590000,,,,142631022000
2_12,Kab. Tapanuli Utara,Provinsi Sumatera Utara,Sumatera,335159816634,317036,"3791,64",0,"3791,64","105,39","72,91","22657009,55",105656762964,31466317865,5736802204,655805793000,587354918000,1413624731729,1413624731729,89236479529,880784128000,192016817000,597636159000,94755681000,124541737000,29706794000,,,192016817000
2_13,Kab. Toba Samosir,Provinsi Sumatera Utara,Sumatera,261788063592,211490,"2328,89",0,"2328,89","102,28","74,48","30099504,69",52298960803,14534229244,4122186942,547120353000,495642893000,1147237136736,1147237136736,54957512300,768305895000,177074852000,510871853000,96741916000,100899831000,43039330000,,,177074852000
2_14,Kota Binjai,Provinsi Sumatera Utara,Sumatera,300953802432,286530,"59,19",0,"59,19","100,63","75,21","32771485,68",135870920433,16231271134,3694879965,578790111000,529303557000,1013597766613,1013597766613,3400000000,690288196000,18210949000,532627031000,57396643000,82053573000,,,,
2_15,Kota Medan,Provinsi Sumatera Utara,Sumatera,956102865818,2507124,265,"25,74","290,74","102,11","80,65","75997977,22",1636204514684,212631219115,3804802631,1633591868000,1493919764000,7271065208056,7271065208056,597800000000,2044219794000,185016188000,1526073171000,39998589000,293131846000,,,,
2_16,Kota Pematang Siantar,Provinsi Sumatera Utara,Sumatera,295954573116,271247,"55,66",0,"55,66","91,04","77,88","36150772,22",137052839193,19423364321,3694879965,597491807000,546406258000,956573496066,956573496066,66500000000,701561771000,21624828000,556772164000,41022589000,82142190000,,,,
2_17,Kota Sibolga,Provinsi Sumatera Utara,Sumatera,147070226056,92406,"41,31","18,89","60,2","108,25","72,65","51446212,78",81245733812,12455401558,3694879965,421492454000,385454849000,595319529518,595319529518,111237805894,475454694000,14526346000,384535437000,36399395000,30820503000,9173013000,,,
2_18,Kota Tanjung Balai,Provinsi Sumatera Utara,Sumatera,164567161640,176155,"107,83",0,"107,83","94,3",68,"37223743,52",74435277572,11352617318,3694879965,436025268000,398745108000,651013807420,651013807420,48100162206,507266088000,13236946000,403249168000,46116546000,44663428000,,,,
2_19,Kota Tebing Tinggi,Provinsi Sumatera Utara,Sumatera,187065505752,173109,31,0,31,"97,37","74,5","28253552,01",114048354143,12670403267,3694879965,419917774000,380088729000,736962089260,736962089260,16000000000,544699694000,14315692000,386845565000,50089033000,50481491000,42967913000,,,
2_20,Kota Padang Sidempuan,Provinsi Sumatera Utara,Sumatera,252137347262,226658,"114,66",0,"114,66","102,24","74,38","24889413,73",75063575093,14242055101,4082749967,510642332000,462208097000,827517965444,827517965444,146263010641,622247636000,41800048000,468092452000,60631781000,75530195000,,,,41800048000
2_21,Kab. Pakpak Bharat,Provinsi Sumatera Utara,Sumatera,127385109552,53945,"1218,3",0,"1218,3","102,81","66,63","20359662,82",20061207923,10318081406,3614021437,360375675000,323371339000,556572425000,556572425000,49632000000,434797046000,50970983000,318568675000,74237591000,29578496000,,,,50970983000
