NAMA_DAERAH,NAMA_PROVINSI,PULAU
Kab. Belitung,Provinsi Bangka Belitung,Sumatera
Kota Pangkal Pinang,Provinsi Bangka Belitung,Sumatera
Kab. Bangka Selatan,Provinsi Bangka Belitung,Sumatera
Kab. Bangka Tengah,Provinsi Bangka Belitung,Sumatera
Kab. Bangka Barat,Provinsi Bangka Belitung,Sumatera
Kab. Belitung Timur,Provinsi Bangka Belitung,Sumatera
Kab. Boalemo,Provinsi Gorontalo,Sulawesi
Kab. Gorontalo,Provinsi Gorontalo,Sulawesi
Kota Gorontalo,Provinsi Gorontalo,Sulawesi
Kab. Pohuwato,Provinsi Gorontalo,Sulawesi
Kab. Bone Bolango,Provinsi Gorontalo,Sulawesi
Kab. Gorontalo Utara,Provinsi Gorontalo,Sulawesi
Kab. Natuna,Provinsi Kepulauan Riau,Sumatera
Kab. Kepulauan Anambas,Provinsi Kepulauan Riau,Sumatera
Kab. Karimun,Provinsi Kepulauan Riau,Sumatera
Kota Batam,Provinsi Kepulauan Riau,Sumatera
Kota Tanjung Pinang,Provinsi Kepulauan Riau,Sumatera
Kab. Lingga,Provinsi Kepulauan Riau,Sumatera
Kab. Bintan,Provinsi Kepulauan Riau,Sumatera
Kab. Fak Fak,Provinsi Papua Barat,Papua & Maluku
Kab. Manokwari,Provinsi Papua Barat,Papua & Maluku
Kab. Teluk Bintuni,Provinsi Papua Barat,Papua & Maluku
Kab. Teluk Wondama,Provinsi Papua Barat,Papua & Maluku
Kab. Kaimana,Provinsi Papua Barat,Papua & Maluku
Kab. Manokwari Selatan,Provinsi Papua Barat,Papua & Maluku
Kab. Pegunungan Arfak,Provinsi Papua Barat,Papua & Maluku
Kab. Majene,Provinsi Sulawesi Barat,Sulawesi
Kab. Mamuju,Provinsi Sulawesi Barat,Sulawesi
Kab. Polewali Mandar,Provinsi Sulawesi Barat,Sulawesi
Kab. Mamasa,Provinsi Sulawesi Barat,Sulawesi
Kab. Pasangkayu,Provinsi Sulawesi Barat,Sulawesi
Kab. Mamuju Tengah,Provinsi Sulawesi Barat,Sulawesi
Kab. Bulungan,Provinsi Kalimantan Utara,Kalimantan
Kab. Malinau,Provinsi Kalimantan Utara,Kalimantan
Kab. Nunukan,Provinsi Kalimantan Utara,Kalimantan
Kota Tarakan,Provinsi Kalimantan Utara,Kalimantan
Kab. Tana Tidung,Provinsi Kalimantan Utara,Kalimantan
Kab. Merauke,Provinsi Papua Selatan,Papua & Maluku
Kab. Boven Digoel,Provinsi Papua Selatan,Papua & Maluku
Kab. Mappi,Provinsi Papua Selatan,Papua & Maluku
Kab. Asmat,Provinsi Papua Selatan,Papua & Maluku
Kab. Mimika,Provinsi Papua Tengah,Papua & Maluku
Kab. Nabire,Provinsi Papua Tengah,Papua & Maluku
Kab. Paniai,Provinsi Papua Tengah,Papua & Maluku
Kab. Puncak Jaya,Provinsi Papua Tengah,Papua & Maluku
Kab. Dogiyai,Provinsi Papua Tengah,Papua & Maluku
Kab. Puncak,Provinsi Papua Tengah,Papua & Maluku
Kab. Intan Jaya,Provinsi Papua Tengah,Papua & Maluku
Kab. Deiyai,Provinsi Papua Tengah,Papua & Maluku
Kab. Jayawijaya,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Yahukimo,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Pegunungan Bintang,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Tolikara,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Mamberamo Tengah,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Yalimo,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Lanny Jaya,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Nduga,Provinsi Papua Pegunungan,Papua & Maluku
Kab. Sorong,Provinsi Papua Barat Daya,Papua & Maluku
Kota Sorong,Provinsi Papua Barat Daya,Papua & Maluku
Kab. Raja Ampat,Provinsi Papua Barat Daya,Papua & Maluku
Kab. Sorong Selatan,Provinsi Papua Barat Daya,Papua & Maluku
Kab. Maybrat,Provinsi Papua Barat Daya,Papua & Maluku
Kab. Tambrauw,Provinsi Papua Barat Daya,Papua & Maluku
